ID,income_segment,age_segment
9336282,"Medium Income",Adult
11452829,"High Income",Adult
5556534,"Low Income",Adult
9183230,"Medium Income",Adult
5558766,"High Income",Senior
2589974,"High Income",Senior
16560237,"High Income",Senior
11436977,"Medium Income",Adult
2152305,"Low Income",Senior
12753218,"Medium Income",Senior
16372261,"High Income",Senior
15196010,"Medium Income",Senior
11552174,"Low Income",Senior
6687490,"Low Income",Senior
11383193,"Medium Income",Senior
13972950,"High Income",Senior
3470315,"Medium Income",Adult
435722,"Low Income",Senior
6893843,"High Income",Adult
16325051,"Medium Income",Adult
402828,"Medium Income",Senior
3039563,"Medium Income",Senior
14228600,"Medium Income",Adult
6755989,"High Income",Senior
240504,"High Income",Senior
8903673,"High Income",Adult
1040479,"High Income",Adult
17852,"High Income",Senior
16565417,"Medium Income",Adult
649958,"High Income",Adult
5483843,"High Income",Adult
9394199,"Medium Income",Senior
15201490,"High Income",Senior
1311991,"High Income",Senior
10036239,"Low Income",Adult
8640037,"High Income",Senior
3894091,"Medium Income",Adult
11115592,"Low Income",Senior
5112876,"Medium Income",Adult
6850766,"Medium Income",Adult
7941647,"Low Income",Senior
1876162,"High Income",Senior
14418332,"Low Income",Senior
729841,"Medium Income",Senior
5782105,"Medium Income",Senior
2464314,"High Income",Senior
13343674,"High Income",Senior
6648140,"Medium Income",Adult
6515163,"Low Income",Senior
15228107,"Medium Income",Senior
4387727,"High Income",Adult
3302705,"High Income",Senior
2742228,"Medium Income",Adult
971970,"High Income",Adult
3003192,"High Income",Senior
5264904,"Medium Income",Adult
9217028,"Low Income",Senior
8592719,"Medium Income",Senior
4813177,"High Income",Senior
194823,"Low Income",Senior
9925259,"Medium Income",Senior
6063630,"Medium Income",Senior
4738869,"Medium Income",Senior
1035600,"Medium Income",Senior
16081058,"Medium Income",Adult
11688081,"Medium Income",Senior
9223460,"Low Income",Senior
15412079,"Low Income",Adult
7110671,"Medium Income",Senior
15964029,"Medium Income",Adult
8080778,"Low Income",Senior
6518531,"Low Income",Adult
8436818,"Medium Income",Adult
659496,"High Income",Senior
3287557,"Medium Income",Adult
4230515,"Low Income",Adult
2182544,"High Income",Adult
1369459,"Medium Income",Adult
2395535,"Low Income",Adult
11352463,"Low Income",Adult
1858385,"Medium Income",Adult
13767021,"Medium Income",Senior
14640562,"Medium Income",Adult
1057316,"Medium Income",Senior
11384955,"Low Income",Adult
5491607,"Medium Income",Adult
8513043,"Medium Income",Adult
13061321,"High Income",Senior
5466230,"Low Income",Senior
6313393,"High Income",Adult
13934154,"Medium Income",Adult
15957826,"Medium Income",Senior
2560651,"High Income",Senior
10198100,"Medium Income",Senior
11077421,"Low Income",Senior
2333011,"Low Income",Senior
11601178,"High Income",Adult
6777573,"Medium Income",Adult
15116692,"Medium Income",Senior
4339751,"Low Income",Senior
16294928,"High Income",Senior
16485101,"Low Income",Senior
13044900,"Medium Income",Adult
38770,"High Income",Senior
4444925,"Low Income",Senior
14099328,"Medium Income",Adult
6880204,"Low Income",Adult
9923800,"Low Income",Adult
5874547,"High Income",Senior
14329913,"Medium Income",Adult
4239584,"High Income",Senior
11434228,"Medium Income",Senior
4099690,"Medium Income",Adult
16129634,"High Income",Senior
533067,"Medium Income",Senior
5586142,"Low Income",Adult
4769214,"High Income",Senior
9260420,"High Income",Adult
1527249,"Medium Income",Adult
12819696,"Low Income",Senior
9675804,"Medium Income",Adult
13206103,"High Income",Senior
7998853,"Medium Income",Adult
2047187,"Medium Income",Senior
277462,"High Income",Adult
14678486,"High Income",Adult
954555,"Medium Income",Senior
13581546,"Medium Income",Senior
12300871,"Low Income",Senior
998752,"Medium Income",Senior
7625638,"Low Income",Senior
4478712,"Medium Income",Senior
3169318,"Medium Income",Adult
2624062,"High Income",Senior
5499845,"High Income",Adult
8508097,"High Income",Adult
2753031,"Low Income",Senior
3911870,"Medium Income",Adult
13038283,"Low Income",Senior
14324926,"Medium Income",Adult
6462418,"High Income",Senior
2122022,"High Income",Senior
15122603,"Medium Income",Adult
13762156,"Medium Income",Adult
13911299,"High Income",Adult
2789165,"High Income",Adult
7721951,"Low Income",Adult
11095487,"Low Income",Adult
3160324,"Medium Income",Adult
11850134,"High Income",Senior
14309160,"Low Income",Adult
9765300,"Medium Income",Senior
10815129,"Low Income",Adult
6064786,"Medium Income",Senior
13985549,"Low Income",Senior
13330094,"High Income",Senior
16249386,"Medium Income",Senior
8325115,"Medium Income",Senior
8224782,"High Income",Adult
5101311,"High Income",Adult
15087782,"Low Income",Adult
5590033,"Medium Income",Senior
12083505,"High Income",Senior
4119431,"Low Income",Adult
12858661,"Medium Income",Adult
14903130,"High Income",Senior
12017469,"Medium Income",Adult
14061687,"Medium Income",Senior
9460518,"Medium Income",Adult
5626964,"Low Income",Senior
2560371,"Medium Income",Senior
2353838,"Low Income",Adult
10672521,"Low Income",Adult
3810456,"Medium Income",Adult
2667800,"High Income",Senior
9483248,"High Income",Senior
9519651,"Low Income",Adult
7975463,"High Income",Adult
9732422,"Medium Income",Adult
4542081,"Medium Income",Adult
7479070,"High Income",Senior
12923066,"High Income",Senior
14885055,"Medium Income",Adult
1385086,"High Income",Adult
9588111,"Medium Income",Adult
10184408,"Low Income",Adult
2301229,"High Income",Senior
4654758,"Low Income",Adult
6603624,"Medium Income",Adult
9666359,"Medium Income",Senior
11551258,"Low Income",Adult
7478798,"High Income",Senior
7564872,"Low Income",Adult
6824969,"Low Income",Adult
1055949,"Medium Income",Senior
13337731,"High Income",Senior
5583734,"Medium Income",Senior
837130,"High Income",Senior
1091542,"Low Income",Senior
5325886,"Medium Income",Adult
7028005,"Low Income",Adult
15417181,"High Income",Senior
10638209,"High Income",Senior
13540514,"Medium Income",Senior
6599404,"High Income",Adult
15989553,"Medium Income",Senior
3853612,"Medium Income",Adult
14640420,"High Income",Adult
3659961,"Medium Income",Adult
9989530,"High Income",Adult
2918720,"High Income",Adult
5749921,"High Income",Adult
404820,"Medium Income",Adult
13268197,"High Income",Adult
373952,"Low Income",Adult
7045866,"Low Income",Adult
4692455,"High Income",Senior
1818078,"Low Income",Senior
16386238,"Medium Income",Senior
8226051,"Medium Income",Senior
16222295,"Medium Income",Adult
3920777,"Medium Income",Senior
8011874,"Medium Income",Adult
9826448,"Medium Income",Senior
4928651,"Medium Income",Adult
13622975,"High Income",Senior
6546580,"High Income",Senior
9198929,"High Income",Senior
16408454,"Medium Income",Senior
10024107,"High Income",Senior
4600382,"High Income",Senior
725550,"Low Income",Adult
2222600,"High Income",Adult
3160250,"Medium Income",Adult
11138190,"High Income",Senior
15251287,"Medium Income",Adult
16236468,"Low Income",Senior
4192418,"Medium Income",Adult
5004722,"High Income",Senior
2572263,"Medium Income",Adult
12644476,"High Income",Senior
5632284,"High Income",Adult
2886286,"High Income",Senior
938026,"High Income",Senior
15124817,"Medium Income",Senior
237386,"Low Income",Senior
10093196,"Low Income",Adult
13365438,"High Income",Adult
16200972,"Low Income",Adult
5011953,"Medium Income",Adult
11956877,"High Income",Senior
5287667,"Medium Income",Adult
1325569,"Medium Income",Adult
4357294,"Low Income",Adult
4131081,"High Income",Senior
4409537,"High Income",Senior
1035777,"Medium Income",Senior
16055558,"Low Income",Adult
1599141,"Low Income",Adult
6236739,"Medium Income",Adult
11845580,"Medium Income",Senior
5924845,"High Income",Senior
5662453,"High Income",Senior
1872617,"Medium Income",Senior
10929437,"High Income",Senior
8301363,"High Income",Senior
186578,"High Income",Senior
15908583,"High Income",Adult
795535,"Medium Income",Adult
180598,"Medium Income",Senior
5632177,"High Income",Senior
9039039,"Medium Income",Senior
4225642,"Low Income",Senior
8189973,"Medium Income",Senior
8779935,"Medium Income",Senior
5316941,"Medium Income",Senior
547924,"High Income",Senior
8127596,"High Income",Adult
639519,"High Income",Senior
2308686,"Medium Income",Senior
405400,"Medium Income",Senior
14777113,"High Income",Adult
10440071,"Low Income",Adult
2216176,"Medium Income",Adult
13421727,"Medium Income",Senior
12504649,"High Income",Adult
9300496,"High Income",Senior
13646394,"High Income",Adult
4241942,"Medium Income",Senior
9181959,"Low Income",Adult
5727236,"Low Income",Senior
3684813,"Medium Income",Senior
2637211,"Low Income",Adult
6204602,"High Income",Senior
14045227,"High Income",Adult
6494572,"Medium Income",Senior
14820695,"High Income",Adult
7757534,"Medium Income",Senior
14157269,"Medium Income",Senior
6053130,"Low Income",Senior
1473995,"Medium Income",Adult
4228415,"Medium Income",Adult
8635749,"High Income",Senior
14685644,"Medium Income",Adult
8990537,"Low Income",Adult
8260886,"High Income",Adult
11624253,"Medium Income",Senior
4994475,"Low Income",Adult
5902874,"High Income",Adult
1799319,"Medium Income",Adult
2010091,"High Income",Senior
9895615,"Medium Income",Adult
6358433,"Medium Income",Senior
16261373,"High Income",Adult
4396154,"Low Income",Senior
11994100,"High Income",Senior
5938629,"Medium Income",Adult
11415284,"High Income",Senior
10923658,"High Income",Senior
9617632,"Low Income",Senior
12905551,"Low Income",Senior
12359126,"High Income",Senior
16523529,"Medium Income",Senior
13328344,"Medium Income",Senior
324210,"Medium Income",Adult
620836,"Medium Income",Senior
12682241,"High Income",Senior
13916856,"Low Income",Senior
12492446,"High Income",Senior
2215189,"Low Income",Senior
5516325,"Low Income",Adult
7617997,"Medium Income",Senior
11953351,"Low Income",Senior
4104896,"Medium Income",Senior
11931337,"Medium Income",Senior
10902641,"Medium Income",Senior
7415796,"Medium Income",Senior
2231516,"High Income",Senior
15375851,"High Income",Adult
12376456,"Low Income",Adult
5348825,"Medium Income",Senior
15339292,"High Income",Adult
14657222,"Low Income",Adult
9048726,"High Income",Senior
1473772,"Medium Income",Adult
2917537,"Medium Income",Adult
8685975,"Medium Income",Senior
2555279,"High Income",Senior
13103055,"High Income",Senior
13830149,"Medium Income",Adult
15404141,"Medium Income",Senior
13460020,"High Income",Adult
3905906,"High Income",Senior
10304510,"Medium Income",Senior
10754785,"High Income",Senior
3576618,"Medium Income",Senior
14904299,"Low Income",Adult
2980259,"Low Income",Adult
15168515,"Low Income",Adult
15895179,"Medium Income",Senior
1866415,"Medium Income",Senior
13217840,"High Income",Senior
6792729,"High Income",Adult
14421467,"Medium Income",Adult
3086502,"High Income",Senior
16404486,"Medium Income",Adult
15730553,"High Income",Senior
3852714,"Medium Income",Senior
11371102,"Medium Income",Senior
15519949,"Low Income",Adult
11991810,"Medium Income",Adult
7073462,"Low Income",Senior
3795098,"Medium Income",Senior
9841004,"Low Income",Senior
10850235,"High Income",Senior
15850811,"Low Income",Senior
14847795,"High Income",Senior
9038709,"High Income",Senior
14856869,"Medium Income",Adult
7591393,"High Income",Senior
103404,"Low Income",Senior
5081016,"Low Income",Senior
1741989,"Medium Income",Adult
2234114,"Low Income",Adult
11056633,"Medium Income",Senior
7760616,"Medium Income",Senior
5987089,"Low Income",Adult
6922592,"Low Income",Adult
7689258,"High Income",Senior
10279667,"Low Income",Adult
2602634,"Medium Income",Adult
3383209,"High Income",Senior
15294414,"Low Income",Adult
13458387,"High Income",Senior
13905313,"Low Income",Adult
10163302,"Medium Income",Adult
15476877,"Medium Income",Senior
12763843,"Medium Income",Adult
7829335,"Medium Income",Senior
2879761,"Medium Income",Adult
6942846,"Medium Income",Senior
5358888,"Low Income",Adult
5360321,"High Income",Senior
10414063,"Medium Income",Senior
7913109,"Low Income",Senior
9719954,"Medium Income",Adult
7101157,"Low Income",Senior
12880234,"High Income",Adult
5334372,"Low Income",Senior
3806164,"Medium Income",Adult
2205013,"Low Income",Senior
6878934,"Medium Income",Senior
2967104,"High Income",Adult
2528896,"Medium Income",Adult
11698189,"Low Income",Senior
16629015,"Medium Income",Adult
8980138,"Medium Income",Senior
11767540,"Low Income",Adult
2848815,"High Income",Adult
9117481,"Medium Income",Adult
9307271,"High Income",Senior
448874,"High Income",Senior
11697642,"Medium Income",Adult
16525285,"Medium Income",Senior
14648406,"Medium Income",Senior
4138950,"Low Income",Senior
3045710,"High Income",Adult
3071785,"Medium Income",Senior
8841888,"High Income",Adult
4317819,"High Income",Adult
3394246,"High Income",Senior
1057204,"Medium Income",Senior
4949463,"Medium Income",Adult
16222914,"High Income",Senior
4248889,"Low Income",Senior
5341224,"High Income",Senior
7590178,"Low Income",Adult
4228483,"High Income",Adult
14187576,"Medium Income",Senior
11582291,"Low Income",Adult
9773764,"High Income",Senior
10270903,"Low Income",Senior
8011343,"Medium Income",Senior
419977,"High Income",Senior
13031389,"High Income",Senior
2978368,"High Income",Senior
6246150,"High Income",Adult
14303205,"Low Income",Adult
7635348,"Medium Income",Adult
4283965,"Medium Income",Adult
9847696,"High Income",Senior
13160166,"High Income",Adult
1984581,"High Income",Senior
2740123,"High Income",Senior
16030521,"High Income",Senior
9292682,"High Income",Senior
3183616,"Low Income",Adult
9935675,"Medium Income",Senior
815856,"Low Income",Senior
11151139,"High Income",Senior
670900,"High Income",Senior
2294572,"High Income",Adult
12220276,"Medium Income",Senior
9937872,"Low Income",Adult
15239037,"High Income",Senior
13608091,"High Income",Senior
12095601,"Low Income",Adult
11581238,"Low Income",Adult
12728125,"Medium Income",Adult
280244,"Medium Income",Senior
4737576,"Low Income",Senior
415809,"Low Income",Adult
800656,"Low Income",Senior
10697868,"Medium Income",Senior
2663128,"Low Income",Senior
8386096,"High Income",Adult
12953360,"High Income",Adult
7506906,"High Income",Adult
4251810,"Low Income",Senior
11941080,"High Income",Adult
9514425,"Medium Income",Senior
14866855,"Low Income",Adult
7940003,"High Income",Senior
12254117,"Medium Income",Adult
6478600,"Medium Income",Senior
11633570,"High Income",Senior
3688313,"Medium Income",Senior
16668261,"Low Income",Senior
4526221,"Low Income",Adult
565806,"Medium Income",Senior
13845541,"Low Income",Senior
6254846,"High Income",Adult
7605337,"High Income",Senior
5877137,"Medium Income",Senior
12627275,"High Income",Senior
13004771,"Medium Income",Senior
15726098,"High Income",Senior
16456479,"High Income",Senior
3448997,"Medium Income",Senior
2335442,"Low Income",Senior
8211963,"High Income",Senior
6003697,"High Income",Adult
4954693,"Medium Income",Senior
6468105,"Medium Income",Senior
12720007,"Medium Income",Adult
9864296,"Medium Income",Senior
13444263,"Low Income",Senior
16028012,"Medium Income",Adult
8463112,"Low Income",Senior
5664958,"Low Income",Adult
11265149,"Medium Income",Senior
496637,"Medium Income",Adult
5485874,"Low Income",Senior
13761585,"Low Income",Senior
11276743,"Low Income",Senior
13612163,"High Income",Senior
1869562,"High Income",Senior
9525121,"Low Income",Adult
1191440,"Medium Income",Adult
45681,"Low Income",Senior
2470890,"Medium Income",Adult
3330554,"Medium Income",Adult
14098730,"Low Income",Adult
3886708,"Low Income",Adult
5541538,"High Income",Adult
1272284,"Low Income",Adult
1614364,"High Income",Adult
9793987,"High Income",Senior
2312995,"Low Income",Adult
9630507,"High Income",Adult
7687875,"Medium Income",Senior
8922551,"Low Income",Senior
2485322,"High Income",Senior
15906126,"High Income",Senior
11012930,"High Income",Senior
3048206,"Medium Income",Senior
12442569,"High Income",Senior
125343,"Medium Income",Senior
10997159,"Low Income",Senior
6076379,"High Income",Senior
11824495,"Medium Income",Senior
13895488,"High Income",Adult
7277805,"High Income",Senior
5277731,"High Income",Senior
9045098,"Low Income",Adult
3259959,"High Income",Senior
5238221,"High Income",Senior
4074322,"Low Income",Adult
809246,"Low Income",Senior
6878360,"High Income",Senior
12847014,"Low Income",Senior
14051530,"Medium Income",Senior
10935289,"Medium Income",Senior
8952518,"Medium Income",Adult
3732499,"High Income",Senior
4090228,"Low Income",Adult
10180114,"High Income",Adult
1012701,"High Income",Adult
11483766,"High Income",Senior
14498866,"Low Income",Adult
16433970,"Low Income",Senior
11690107,"Medium Income",Adult
3210181,"Low Income",Senior
9360027,"Low Income",Senior
711201,"High Income",Adult
9433829,"Medium Income",Senior
9478296,"High Income",Senior
1414991,"Medium Income",Adult
13507219,"Low Income",Adult
10112154,"Low Income",Senior
2989102,"High Income",Adult
15740614,"High Income",Adult
8308179,"Medium Income",Senior
844879,"Medium Income",Senior
14758184,"Low Income",Senior
15092762,"Medium Income",Senior
1677968,"High Income",Adult
6072601,"High Income",Senior
471467,"High Income",Senior
1826248,"Low Income",Senior
10290150,"High Income",Senior
2976530,"Low Income",Adult
6731782,"Medium Income",Senior
7256168,"High Income",Senior
4706232,"Medium Income",Senior
16756475,"Medium Income",Senior
13504490,"High Income",Senior
14291870,"Medium Income",Senior
8875428,"Low Income",Senior
1845994,"High Income",Senior
14851541,"Low Income",Senior
15148531,"High Income",Adult
10008964,"Medium Income",Adult
10510768,"Medium Income",Adult
13556545,"High Income",Senior
4048094,"Medium Income",Adult
6401998,"High Income",Adult
10698248,"High Income",Adult
6931800,"Medium Income",Adult
12760940,"High Income",Adult
15451232,"Medium Income",Adult
2175398,"Low Income",Senior
3979747,"Medium Income",Adult
5927934,"Medium Income",Adult
1605684,"Medium Income",Adult
5264500,"High Income",Adult
10240292,"Medium Income",Senior
2774801,"High Income",Senior
3525969,"Medium Income",Senior
5575402,"High Income",Adult
7064777,"Medium Income",Senior
12633755,"Low Income",Adult
6572430,"Medium Income",Senior
11484407,"High Income",Adult
13140188,"Medium Income",Senior
464236,"Medium Income",Senior
10920934,"Medium Income",Senior
5767996,"Medium Income",Adult
12251870,"High Income",Adult
9034540,"Medium Income",Adult
11506514,"Medium Income",Adult
6941572,"High Income",Senior
4170083,"High Income",Adult
5779623,"High Income",Senior
10919903,"High Income",Senior
693578,"Medium Income",Adult
16348371,"High Income",Adult
14320517,"Low Income",Adult
7392299,"Medium Income",Adult
13746139,"Medium Income",Senior
14407336,"Medium Income",Senior
7962064,"Medium Income",Senior
2458472,"Medium Income",Senior
7437149,"High Income",Senior
4239927,"Medium Income",Senior
5520395,"High Income",Senior
16621177,"High Income",Senior
9638637,"Medium Income",Adult
8969785,"Medium Income",Senior
10150452,"High Income",Adult
13221861,"Medium Income",Senior
4269481,"Medium Income",Senior
1345631,"High Income",Senior
3904958,"Low Income",Adult
9556890,"High Income",Adult
6788667,"Medium Income",Senior
9831030,"High Income",Senior
7784539,"Medium Income",Adult
6368046,"High Income",Senior
10438566,"Medium Income",Senior
5951433,"Low Income",Adult
387086,"High Income",Adult
5649204,"High Income",Adult
13018418,"Medium Income",Adult
12478166,"Medium Income",Adult
12990182,"Medium Income",Senior
6520476,"High Income",Senior
6135273,"Medium Income",Senior
13277473,"High Income",Senior
13836452,"Medium Income",Senior
12055203,"Low Income",Senior
15178657,"Medium Income",Senior
2065014,"Medium Income",Senior
1998324,"Low Income",Adult
9049804,"High Income",Adult
8348884,"High Income",Adult
3625832,"Low Income",Senior
2569113,"High Income",Senior
3182440,"High Income",Adult
14156433,"Low Income",Senior
7119830,"Medium Income",Adult
14603816,"High Income",Senior
2583678,"High Income",Adult
9126550,"Medium Income",Senior
13300827,"High Income",Adult
12853678,"Medium Income",Adult
8773466,"Medium Income",Adult
7653846,"Medium Income",Adult
13325618,"Low Income",Senior
14249011,"Medium Income",Adult
14580010,"High Income",Senior
6880991,"Low Income",Senior
12677804,"Medium Income",Adult
7174529,"High Income",Senior
13398344,"Low Income",Senior
5560111,"Medium Income",Adult
13346237,"High Income",Senior
6288060,"Medium Income",Senior
14673516,"Medium Income",Adult
1052616,"High Income",Adult
3276568,"High Income",Senior
1626562,"Low Income",Adult
9986153,"Medium Income",Adult
8790055,"High Income",Senior
13722198,"Low Income",Senior
4696906,"Low Income",Adult
9344026,"High Income",Senior
3444975,"High Income",Senior
11267755,"Low Income",Senior
15405546,"High Income",Senior
15892781,"Low Income",Senior
10522457,"Medium Income",Adult
11332677,"Medium Income",Adult
6905039,"High Income",Senior
14033496,"High Income",Adult
3671489,"High Income",Senior
15316824,"High Income",Adult
12113907,"Low Income",Adult
14387183,"Low Income",Senior
13847191,"Medium Income",Senior
13463514,"Medium Income",Adult
6388809,"Medium Income",Senior
10554787,"Medium Income",Adult
862206,"High Income",Adult
13348510,"Medium Income",Senior
5175076,"High Income",Adult
7191272,"Low Income",Senior
4896054,"High Income",Senior
7735398,"High Income",Adult
3163257,"High Income",Adult
12444778,"High Income",Senior
15236573,"High Income",Senior
3689712,"Low Income",Senior
6026340,"Low Income",Adult
1612460,"Medium Income",Senior
2107205,"Medium Income",Senior
14714327,"Medium Income",Senior
6375843,"Medium Income",Senior
3078199,"Low Income",Adult
192150,"High Income",Senior
1683473,"High Income",Adult
3086574,"Medium Income",Senior
16290825,"Medium Income",Adult
3896463,"High Income",Senior
2454310,"Medium Income",Senior
14338188,"Medium Income",Senior
13896431,"Medium Income",Senior
9689848,"High Income",Senior
4313881,"High Income",Senior
678146,"Medium Income",Adult
15139069,"Low Income",Adult
6297006,"Medium Income",Adult
5704037,"Medium Income",Adult
3775857,"High Income",Senior
11208098,"Medium Income",Senior
9896818,"Low Income",Adult
14868222,"Medium Income",Senior
13211217,"Low Income",Senior
5089541,"High Income",Adult
2112917,"High Income",Senior
14747069,"Medium Income",Senior
1695518,"Medium Income",Senior
10371368,"Medium Income",Senior
6173352,"Medium Income",Adult
5152939,"Medium Income",Adult
259162,"Low Income",Senior
7879716,"High Income",Adult
16254514,"Low Income",Senior
10238715,"High Income",Senior
12715716,"Low Income",Adult
709055,"Medium Income",Senior
7071807,"High Income",Adult
15719575,"Medium Income",Adult
12711165,"Medium Income",Adult
2904323,"Medium Income",Adult
14868741,"Medium Income",Adult
8781943,"Low Income",Adult
11616038,"Medium Income",Senior
13167911,"Low Income",Senior
15448089,"Medium Income",Senior
6032259,"High Income",Senior
4968503,"Low Income",Adult
4921047,"Low Income",Senior
3227196,"Low Income",Senior
12000942,"High Income",Adult
14509238,"Medium Income",Adult
9418163,"High Income",Senior
15297880,"Low Income",Senior
832571,"Low Income",Senior
5761018,"High Income",Adult
2696046,"High Income",Senior
2192480,"Medium Income",Senior
1170080,"High Income",Senior
15821889,"Medium Income",Senior
5024616,"High Income",Adult
6109908,"High Income",Senior
4197564,"Low Income",Senior
2262023,"Low Income",Senior
16101992,"High Income",Adult
9652021,"High Income",Adult
4037447,"Medium Income",Adult
6301431,"Low Income",Adult
3273067,"High Income",Senior
14586143,"Low Income",Senior
11603767,"High Income",Senior
16092632,"Low Income",Senior
9562925,"Low Income",Senior
3556515,"High Income",Adult
3718138,"Medium Income",Senior
8070670,"High Income",Senior
1314566,"High Income",Adult
10899180,"Low Income",Senior
30466,"Medium Income",Senior
14038480,"Low Income",Adult
1561925,"Medium Income",Senior
4315406,"Medium Income",Adult
1188427,"Medium Income",Senior
16611994,"Medium Income",Adult
15600210,"Medium Income",Senior
9217879,"Medium Income",Adult
5548069,"Medium Income",Senior
10722119,"Medium Income",Senior
465682,"Medium Income",Senior
13362504,"Medium Income",Senior
13446733,"Medium Income",Senior
12372705,"Medium Income",Adult
2947984,"High Income",Adult
7235628,"Medium Income",Senior
6472173,"High Income",Adult
2636844,"Medium Income",Adult
10790404,"Low Income",Senior
1380235,"High Income",Adult
659644,"Medium Income",Senior
7286051,"High Income",Adult
3971170,"High Income",Senior
4433515,"Low Income",Senior
5908945,"Medium Income",Adult
10295469,"Low Income",Adult
5565178,"High Income",Senior
5526242,"High Income",Senior
7949674,"Low Income",Adult
6685153,"Low Income",Senior
5364730,"Medium Income",Senior
449901,"Medium Income",Adult
451043,"Medium Income",Adult
2273452,"High Income",Senior
6740711,"Medium Income",Adult
6853311,"Medium Income",Adult
6219103,"High Income",Adult
3218478,"High Income",Senior
9075988,"Medium Income",Adult
1484934,"Medium Income",Senior
12446768,"Medium Income",Adult
10009416,"Low Income",Senior
11368217,"Low Income",Senior
13328737,"Low Income",Adult
2121945,"Low Income",Senior
1578089,"Medium Income",Senior
5636426,"Medium Income",Adult
1769936,"Low Income",Adult
6442365,"Low Income",Adult
7744066,"High Income",Adult
1985606,"High Income",Adult
16411173,"Low Income",Senior
2495383,"High Income",Senior
12177627,"Low Income",Senior
2321268,"High Income",Senior
11835595,"High Income",Senior
9662549,"Medium Income",Senior
7820109,"High Income",Adult
15472208,"Low Income",Senior
16024161,"Medium Income",Adult
14038706,"Medium Income",Senior
9631269,"Low Income",Adult
1206292,"Medium Income",Adult
10550102,"High Income",Senior
12447914,"High Income",Senior
7528954,"Low Income",Adult
14138139,"Medium Income",Adult
1616660,"Medium Income",Adult
15627600,"High Income",Senior
395110,"High Income",Adult
4138473,"High Income",Senior
5160033,"Low Income",Senior
14149555,"Medium Income",Adult
12717003,"Medium Income",Senior
5076640,"High Income",Senior
3140621,"Medium Income",Senior
16271672,"Medium Income",Senior
1803379,"High Income",Senior
9244660,"Low Income",Senior
